time	track	channel	bar	pitch	volume	instrument
336	1	2	-1374389531	60	80	-1374389531
336	1	2	-1374389531	56	0	-1374389531
336	2	9	-1374389531	38	80	-1374389531
336	2	9	-1374389531	42	80	-1374389531
336	2	9	-1374389531	35	0	-1374389531
336	2	9	-1374389531	42	0	-1374389531
344	1	2	-1202590839	56	80	-1202590839
344	1	2	-1202590839	60	0	-1202590839
344	2	9	-1202590839	38	0	-1202590839
344	2	9	-1202590839	42	0	-1202590839
344	2	9	-1202590839	42	80	-1202590839
348	2	9	1030792155	42	0	1030792155
348	2	9	1030792155	38	80	1030792155
352	1	2	-1030792147	56	0	-1030792147
352	1	2	-1030792147	60	80	-1030792147
352	2	9	-1030792147	38	0	-1030792147
352	2	9	-1030792147	42	80	-1030792147
356	2	9	1202590847	42	0	1202590847
356	2	9	1202590847	38	80	1202590847
360	1	2	-858993455	60	0	-858993455
360	1	2	-858993455	56	80	-858993455
360	2	9	-858993455	38	0	-858993455
360	2	9	-858993455	42	80	-858993455
360	2	9	-858993455	35	80	-858993455
368	1	2	-687194763	58	80	-687194763
368	1	2	-687194763	56	0	-687194763
368	2	9	-687194763	38	80	-687194763
368	2	9	-687194763	42	0	-687194763
368	2	9	-687194763	35	0	-687194763
368	2	9	-687194763	42	80	-687194763
376	1	2	-515396071	55	80	-515396071
376	1	2	-515396071	58	0	-515396071
376	2	9	-515396071	42	80	-515396071
376	2	9	-515396071	38	80	-515396071
376	2	9	-515396071	42	0	-515396071
376	2	9	-515396071	38	0	-515396071
380	2	9	1717986923	42	0	1717986923
380	2	9	1717986923	38	0	1717986923
380	2	9	1717986923	38	80	1717986923
384	1	2	-343597379	60	72	-343597379
384	1	2	-343597379	55	0	-343597379
384	2	9	-343597379	38	0	-343597379
384	2	9	-343597379	42	80	-343597379
384	2	9	-343597379	35	80	-343597379
384	4	6	-343597379	41	0	-343597379
384	4	6	-343597379	32	72	-343597379
392	1	2	-171798687	56	72	-171798687
392	1	2	-171798687	60	0	-171798687
392	2	9	-171798687	35	0	-171798687
392	2	9	-171798687	42	80	-171798687
392	2	9	-171798687	42	0	-171798687
400	1	2	2	56	0	2
400	1	2	2	63	80	2
400	2	9	2	42	0	2
400	2	9	2	42	80	2
400	2	9	2	38	80	2
408	1	2	-2061584300	63	0	-2061584300
408	1	2	-2061584300	56	80	-2061584300
408	2	9	-2061584300	42	0	-2061584300
408	2	9	-2061584300	38	0	-2061584300
408	2	9	-2061584300	42	80	-2061584300
408	2	9	-2061584300	35	80	-2061584300
412	2	9	1202590845	42	0	1202590845
412	2	9	1202590845	35	80	1202590845
412	2	9	1202590845	35	0	1202590845
416	1	2	171798694	58	80	171798694
416	1	2	171798694	56	0	171798694
416	2	9	171798694	35	0	171798694
416	2	9	171798694	42	80	171798694
416	4	6	171798694	32	0	171798694
416	4	6	171798694	39	72	171798694
420	2	9	-858993457	42	0	-858993457
420	2	9	-858993457	38	80	-858993457
424	1	2	-1889785608	58	0	-1889785608
424	1	2	-1889785608	51	80	-1889785608
424	2	9	-1889785608	38	0	-1889785608
424	2	9	-1889785608	35	80	-1889785608
424	2	9	-1889785608	42	80	-1889785608
432	1	2	343597386	63	80	343597386
432	1	2	343597386	51	0	343597386
432	2	9	343597386	42	0	343597386
432	2	9	343597386	38	80	343597386
432	2	9	343597386	35	0	343597386
432	2	9	343597386	42	80	343597386
440	1	2	-1717986916	61	80	-1717986916
440	1	2	-1717986916	63	0	-1717986916
440	2	9	-1717986916	42	80	-1717986916
440	2	9	-1717986916	38	0	-1717986916
440	2	9	-1717986916	42	0	-1717986916
444	2	9	1546188229	38	80	1546188229
444	2	9	1546188229	42	0	1546188229
448	1	2	515396078	60	80	515396078
448	1	2	515396078	61	0	515396078
448	2	9	515396078	38	0	515396078
448	2	9	515396078	42	80	515396078
448	2	9	515396078	35	80	515396078
448	4	6	515396078	41	72	515396078
448	4	6	515396078	39	0	515396078
456	1	2	-1546188224	60	0	-1546188224
456	1	2	-1546188224	56	80	-1546188224
456	2	9	-1546188224	42	0	-1546188224
456	2	9	-1546188224	35	80	-1546188224
456	2	9	-1546188224	42	80	-1546188224
456	2	9	-1546188224	35	0	-1546188224
464	1	2	687194770	60	80	687194770
464	1	2	687194770	56	0	687194770
464	2	9	687194770	38	80	687194770
464	2	9	687194770	42	80	687194770
464	2	9	687194770	35	0	687194770
464	2	9	687194770	42	0	687194770
472	1	2	-1374389532	60	0	-1374389532
472	1	2	-1374389532	56	80	-1374389532
472	2	9	-1374389532	42	0	-1374389532
472	2	9	-1374389532	42	80	-1374389532
472	2	9	-1374389532	38	0	-1374389532
476	2	9	1889785613	38	80	1889785613
476	2	9	1889785613	42	0	1889785613
480	1	2	858993462	60	80	858993462
480	1	2	858993462	56	0	858993462
480	2	9	858993462	38	0	858993462
480	2	9	858993462	42	80	858993462
484	2	9	-171798689	38	80	-171798689
484	2	9	-171798689	42	0	-171798689
488	1	2	-1202590840	60	0	-1202590840
488	1	2	-1202590840	56	80	-1202590840
488	2	9	-1202590840	35	80	-1202590840
488	2	9	-1202590840	38	0	-1202590840
488	2	9	-1202590840	42	80	-1202590840
488	3	4	-1202590840	51	72	-1202590840
496	1	2	1030792154	56	0	1030792154
496	1	2	1030792154	60	80	1030792154
496	2	9	1030792154	35	0	1030792154
496	2	9	1030792154	42	80	1030792154
496	2	9	1030792154	42	0	1030792154
496	2	9	1030792154	38	80	1030792154
496	3	4	1030792154	51	0	1030792154
496	3	4	1030792154	56	72	1030792154
500	3	4	3	56	0	3
500	3	4	3	58	72	3
504	1	2	-1030792148	58	80	-1030792148
504	1	2	-1030792148	60	0	-1030792148
504	2	9	-1030792148	38	0	-1030792148
504	2	9	-1030792148	38	80	-1030792148
504	2	9	-1030792148	42	80	-1030792148
504	2	9	-1030792148	42	0	-1030792148
504	3	4	-1030792148	58	0	-1030792148
508	2	9	-2061584299	38	80	-2061584299
508	2	9	-2061584299	42	0	-2061584299
508	2	9	-2061584299	38	0	-2061584299
512	1	2	1202590846	60	72	1202590846
512	1	2	1202590846	58	0	1202590846
