time	track	channel	bar	pitch	volume	instrument
16	1	1	0	79
24	1	1	0	79
24	2	2	0	72
24	1	1	0	87
32	1	1	1	87
32	2	2	1	79
32	2	2	1	75
32	1	1	1	87
32	2	2	1	72
36	1	1	1	89
36	1	1	1	87
40	1	1	1	89
40	1	1	1	91
48	1	1	1	86
48	1	1	1	91
48	2	2	1	70
48	2	2	1	75
48	2	2	1	79
56	2	2	2	70
56	2	2	2	77
56	2	2	2	74
56	1	1	2	86
56	1	1	2	94
72	1	1	2	84
72	1	1	2	94
72	2	2	2	68
72	2	2	2	74
72	2	2	2	77
80	1	1	3	84
80	1	1	3	84
80	2	2	3	75
80	2	2	3	68
80	2	2	3	72
84	1	1	3	84
84	1	1	3	86
88	1	1	3	86
88	1	1	3	87
96	1	1	3	87
96	1	1	3	82
96	2	2	3	75
96	2	2	3	67
96	2	2	3	72
104	1	1	4	82
104	1	1	4	91
104	2	2	4	74
104	2	2	4	70
104	2	2	4	67
120	1	1	4	80
120	2	2	4	70
120	2	2	4	74
120	2	2	4	65
120	1	1	4	91
128	1	1	5	80
128	1	1	5	80
128	2	2	5	72
128	2	2	5	68
128	2	2	5	65
132	1	1	5	80
132	1	1	5	82
136	1	1	5	82
136	1	1	5	84
144	2	2	5	72
144	2	2	5	70
144	2	2	5	68
144	1	1	5	84
144	1	1	5	86
152	1	1	6	86
152	1	1	6	84
152	2	2	6	74
152	2	2	6	70
152	2	2	6	77
160	1	1	6	82
160	1	1	6	84
168	1	1	6	79
168	1	1	6	82
168	2	2	6	74
168	2	2	6	63
168	2	2	6	77
176	2	2	7	70
176	2	2	7	67
176	2	2	7	63
184	1	1	7	77
184	1	1	7	79
192	1	1	7	79
192	1	1	7	77
192	2	2	7	67
192	2	2	7	70
192	2	2	7	67
200	2	2	8	67
200	2	2	8	71
200	2	2	8	74
208	1	1	8	79
208	1	1	8	79
216	2	2	8	74
216	2	2	8	72
216	1	1	8	79
216	1	1	8	87
216	2	2	8	71
224	1	1	9	87
224	1	1	9	87
224	2	2	9	72
224	2	2	9	75
224	2	2	9	79
228	1	1	9	87
228	1	1	9	89
232	1	1	9	89
232	1	1	9	91
240	2	2	9	75
240	2	2	9	70
240	2	2	9	79
240	1	1	9	91
240	1	1	9	86
248	1	1	10	86
248	1	1	10	94
248	2	2	10	70
248	2	2	10	74
248	2	2	10	77
264	1	1	10	94
264	1	1	10	84
264	2	2	10	74
264	2	2	10	77
264	2	2	10	68
272	2	2	11	68
272	2	2	11	75
272	1	1	11	84
272	1	1	11	84
272	2	2	11	72
276	1	1	11	84
276	1	1	11	86
280	1	1	11	86
280	1	1	11	87
288	1	1	11	82
288	1	1	11	87
288	2	2	11	67
288	2	2	11	72
288	2	2	11	75
296	1	1	12	91
296	1	1	12	82
296	2	2	12	74
296	2	2	12	70
296	2	2	12	67
312	1	1	12	80
312	2	2	12	70
312	2	2	12	65
312	2	2	12	74
312	1	1	12	91
320	1	1	13	80
320	1	1	13	82
320	2	2	13	68
320	2	2	13	72
320	2	2	13	65
328	1	1	13	82
328	1	1	13	84
336	2	2	13	68
336	2	2	13	72
336	2	2	13	70
336	1	1	13	84
336	1	1	13	86
344	1	1	14	86
344	1	1	14	84
344	2	2	14	74
344	2	2	14	77
344	2	2	14	70
352	1	1	14	82
352	1	1	14	84
360	1	1	14	84
360	1	1	14	82
360	2	2	14	77
360	2	2	14	72
360	2	2	14	74
368	2	2	15	67
368	2	2	15	72
376	1	1	15	84
376	2	2	15	67
376	2	2	15	63
385	2	2	15	63
385	2	2	15	60
401	1	1	16	67
401	2	2	16	60
409	1	1	16	67
409	1	1	16	75
409	2	2	16	48
409	3	3	16	48
413	2	2	17	55
417	1	1	17	75
417	1	1	17	75
417	2	2	17	63
421	1	1	17	77
421	1	1	17	75
421	2	2	17	55
425	1	1	17	79
425	1	1	17	77
433	1	1	17	74
433	1	1	17	79
433	2	2	17	63
433	2	2	17	46
433	2	2	17	48
433	3	3	17	48
433	3	3	17	46
437	2	2	18	53
441	1	1	18	82
441	2	2	18	62
441	1	1	18	74
453	2	2	18	53
457	1	1	18	82
457	1	1	18	72
457	2	2	18	46
457	2	2	18	62
457	2	2	18	44
457	3	3	18	44
457	3	3	18	46
461	2	2	19	51
465	2	2	19	60
465	1	1	19	72
465	1	1	19	72
469	1	1	19	74
469	1	1	19	72
473	1	1	19	75
473	1	1	19	74
477	2	2	19	51
481	1	1	19	70
481	1	1	19	75
481	2	2	19	43
481	2	2	19	44
481	2	2	19	60
481	3	3	19	44
481	3	3	19	43
485	2	2	20	50
489	1	1	20	79
489	2	2	20	58
489	1	1	20	70
501	2	2	20	50
505	1	1	20	79
505	1	1	20	68
505	2	2	20	58
505	2	2	20	43
505	2	2	20	41
