time	track	channel	pitch	volume	instrument
642	1	1	80	120	0
642	2	2	52	120	0
648	1	1	81	120	0
648	2	2	45	120	0
651	1	1	84	120	0
654	1	1	87	120	0
654	2	2	52	120	0
657	1	1	88	120	0
660	1	1	93	120	0
660	2	2	43	120	0
666	1	1	88	120	0
666	2	2	50	120	0
672	1	1	95	120	0
672	2	2	41	120	0
675	1	1	95	120	0
676	1	1	93	120	0
678	1	1	88	120	0
678	2	2	48	120	0
681	1	1	86	120	0
684	1	1	84	120	0
684	2	2	57	120	0
687	1	1	83	120	0
690	1	1	81	120	0
690	2	2	48	120	0
693	1	1	76	120	0
696	1	1	95	120	0
696	2	2	43	120	0
699	1	1	93	120	0
702	1	1	91	120	0
702	2	2	50	120	0
705	1	1	88	120	0
708	1	1	86	120	0
708	2	2	59	120	0
711	1	1	84	120	0
714	1	1	83	120	0
714	2	2	50	120	0
717	1	1	81	120	0
720	1	1	81	120	0
720	1	1	76	120	0
720	1	1	85	120	0
720	2	2	45	120	0
726	2	2	52	120	0
732	2	2	61	120	0
738	1	1	81	120	0
738	2	2	52	120	0
744	1	1	74	120	0
744	1	1	76	120	0
744	2	2	61	120	0
747	1	1	72	120	0
750	1	1	71	120	0
750	2	2	52	120	0
753	1	1	69	120	0
756	1	1	72	120	0
756	2	2	61	120	0
759	1	1	71	120	0
762	1	1	64	120	0
762	2	2	52	120	0
768	1	1	81	120	0
768	1	1	69	120	0
768	2	2	41	120	0
771	1	1	79	120	0
771	1	1	67	120	0
774	1	1	76	120	0
774	1	1	64	120	0
774	2	2	48	120	0
777	1	1	62	120	0
777	1	1	74	120	0
780	1	1	76	120	0
780	1	1	64	120	0
780	2	2	57	120	0
786	1	1	67	120	0
786	1	1	79	120	0
786	2	2	48	120	0
789	1	1	76	120	0
789	1	1	64	120	0
792	1	1	62	120	0
792	1	1	74	120	0
792	2	2	43	120	0
798	1	1	64	120	0
798	1	1	76	120	0
798	2	2	50	120	0
801	1	1	74	120	0
801	1	1	62	120	0
804	1	1	60	120	0
804	1	1	72	120	0
804	2	2	59	120	0
810	1	1	74	120	0
810	1	1	62	120	0
810	2	2	50	120	0
813	1	1	72	120	0
813	1	1	60	120	0
816	1	1	71	120	0
816	1	1	59	120	0
816	2	2	40	120	0
822	2	2	47	120	0
828	1	1	60	120	0
828	1	1	72	120	0
828	2	2	55	120	0
834	1	1	59	120	0
834	1	1	71	120	0
834	2	2	47	120	0
840	1	1	69	120	0
840	1	1	57	120	0
840	2	2	45	120	0
846	2	2	52	120	0
852	1	1	64	120	0
852	2	2	57	120	0
858	1	1	69	120	0
858	2	2	52	120	0
861	1	1	72	120	0
864	1	1	81	120	0
864	1	1	69	120	0
864	2	2	41	120	0
867	1	1	79	120	0
867	1	1	67	120	0
870	1	1	64	120	0
870	1	1	76	120	0
870	2	2	48	120	0
873	1	1	62	120	0
873	1	1	74	120	0
876	1	1	64	120	0
876	1	1	76	120	0
876	2	2	57	120	0
882	1	1	67	120	0
882	1	1	79	120	0
882	2	2	48	120	0
885	1	1	76	120	0
885	1	1	64	120	0
888	1	1	83	120	0
888	1	1	71	120	0
888	2	2	43	120	0
894	1	1	72	120	0
894	1	1	84	120	0
894	2	2	50	120	0
897	1	1	88	120	0
897	1	1	76	120	0
900	1	1	83	120	0
900	1	1	71	120	0
900	2	2	59	120	0
906	1	1	69	120	0
906	1	1	81	120	0
906	2	2	50	120	0
909	1	1	67	120	0
909	1	1	79	120	0
912	1	1	76	120	0
912	1	1	64	120	0
912	2	2	40	120	0
918	2	2	47	120	0
924	1	1	67	120	0
924	1	1	79	120	0
924	2	2	55	120	0
930	1	1	86	120	0
930	1	1	74	120	0
930	2	2	47	120	0
936	1	1	85	120	0
936	1	1	73	120	0
936	2	2	56	120	0
942	2	2	47	120	0
948	1	1	83	120	0
