time	track	bar	beat0	7	0	0
0	6	0	0
313	7	0	0
332	7	0	0
630	6	0	0
646	7	0	0
664	7	0	0
664	6	0	0
977	7	0	1
996	7	0	1
1294	6	0	1
1310	7	0	1
1328	6	0	1
1328	7	0	1
1643	7	0	2
1661	7	0	2
1959	6	0	2
1975	7	0	2
1993	6	0	2
1993	7	0	2
2308	7	0	3
2326	7	0	3
2624	6	0	3
2640	7	0	3
2658	6	0	3
2658	7	0	3
2972	7	1	4
2990	7	1	4
3288	6	1	4
3304	7	1	4
3322	6	1	4
3322	7	1	4
3637	7	1	5
3653	7	1	5
3951	6	1	5
3969	7	1	5
3987	7	1	5
3987	6	1	5
4302	7	1	6
4318	7	1	6
4616	6	1	6
4634	7	1	6
4652	6	1	6
4652	7	1	6
4967	7	1	7
4983	7	1	7
5281	6	1	7
5297	7	1	7
5316	6	1	7
5316	7	1	7
5630	7	2	8
5646	7	2	8
5944	6	2	8
5960	7	2	8
5979	6	2	8
5979	7	2	8
6294	7	2	9
6310	7	2	9
6608	6	2	9
6624	7	2	9
6643	6	2	9
6643	7	2	9
6958	7	2	10
6974	7	2	10
7272	6	2	10
7288	7	2	10
7307	7	2	10
7307	6	2	10
7622	7	2	11
7638	7	2	11
7936	6	2	11
7952	7	2	11
7971	6	2	11
7971	7	2	11
7971	8	2	11
8285	7	3	12
8301	7	3	12
8599	6	3	12
8615	7	3	12
8634	6	3	12
8634	7	3	12
8949	7	3	13
8967	7	3	13
9265	6	3	13
9280	7	3	13
9296	8	3	13
9298	6	3	13
9298	7	3	13
9298	8	3	13
9298	9	3	13
9613	7	3	14
9629	9	3	14
9630	7	3	14
9928	6	3	14
9943	7	3	14
9962	6	3	14
9962	7	3	14
9962	9	3	14
10277	7	3	15
10293	9	3	15
10294	7	3	15
10592	6	3	15
10608	7	3	15
10623	8	3	15
10625	8	3	15
10625	9	3	15
10625	9	3	15
10625	9	3	15
10625	7	3	15
10625	7	3	15
10625	6	3	15
10625	6	3	15
10625	2	3	15
10625	1	3	15
10957	3	4	16
11255	6	4	16
11255	6	4	16
11286	3	4	16
11286	9	4	16
11286	9	4	16
11286	9	4	16
11288	3	4	16
11288	6	4	16
11288	6	4	16
11288	9	4	16
11619	3	4	17
11620	3	4	17
11918	6	4	17
11918	6	4	17
11951	3	4	17
11951	9	4	17
11952	9	4	17
11952	6	4	17
11952	6	4	17
11952	3	4	17
12283	3	4	18
12284	3	4	18
12515	1	4	18
12515	2	4	18
12581	6	4	18
12581	6	4	18
12614	9	4	18
12614	9	4	18
12614	9	4	18
12614	8	4	18
12614	8	4	18
12614	6	4	18
12614	3	4	18
12614	1	4	18
12614	3	4	18
12614	2	4	18
12614	6	4	18
12947	3	4	19
12948	3	4	19
13146	7	4	19
13146	7	4	19
13246	1	4	19
13246	6	4	19
13246	6	4	19
13246	2	4	19
13279	7	4	19
13279	9	4	19
13279	9	4	19
13279	9	4	19
13279	8	4	19
13279	8	4	19
13279	7	4	19
13279	1	4	19
13279	2	4	19
13279	3	4	19
13279	3	4	19
13279	6	4	19
13279	6	4	19
13911	6	5	20
13911	6	5	20
13944	3	5	20
13944	3	5	20
13944	6	5	20
13944	6	5	20
13944	9	5	20
13944	9	5	20
14277	3	5	21
14278	3	5	21
14576	6	5	21
14576	6	5	21
14609	3	5	21
14609	3	5	21
14609	6	5	21
14609	6	5	21
14609	9	5	21
