time:13223	pitch:84	volume:0	bar:11	beat:33
time:13223	pitch:72	volume:120	bar:11	beat:33
time:13223	pitch:68	volume:0	bar:11	beat:33
time:13223	pitch:75	volume:120	bar:11	beat:33
time:13421	pitch:86	volume:120	bar:11	beat:34
time:13421	pitch:84	volume:0	bar:11	beat:34
time:13615	pitch:87	volume:120	bar:11	beat:34
time:13615	pitch:86	volume:0	bar:11	beat:34
time:14004	pitch:82	volume:120	bar:11	beat:35
time:14004	pitch:87	volume:0	bar:11	beat:35
time:14004	pitch:67	volume:120	bar:11	beat:35
time:14004	pitch:72	volume:0	bar:11	beat:35
time:14004	pitch:75	volume:0	bar:11	beat:35
time:14393	pitch:91	volume:120	bar:12	beat:36
time:14393	pitch:82	volume:0	bar:12	beat:36
time:14393	pitch:74	volume:120	bar:12	beat:36
time:14393	pitch:70	volume:120	bar:12	beat:36
time:14393	pitch:67	volume:0	bar:12	beat:36
time:15172	pitch:80	volume:120	bar:12	beat:38
time:15172	pitch:70	volume:0	bar:12	beat:38
time:15172	pitch:65	volume:120	bar:12	beat:38
time:15172	pitch:74	volume:0	bar:12	beat:38
time:15172	pitch:91	volume:0	bar:12	beat:38
time:15561	pitch:80	volume:0	bar:13	beat:39
time:15561	pitch:82	volume:120	bar:13	beat:39
time:15561	pitch:68	volume:120	bar:13	beat:39
time:15561	pitch:72	volume:120	bar:13	beat:39
time:15561	pitch:65	volume:0	bar:13	beat:39
time:15950	pitch:82	volume:0	bar:13	beat:40
time:15950	pitch:84	volume:120	bar:13	beat:40
time:16339	pitch:68	volume:0	bar:13	beat:41
time:16339	pitch:72	volume:0	bar:13	beat:41
time:16339	pitch:86	volume:120	bar:13	beat:41
time:16339	pitch:84	volume:0	bar:13	beat:41
time:16339	pitch:70	volume:120	bar:13	beat:41
time:16728	pitch:86	volume:0	bar:14	beat:42
time:16728	pitch:84	volume:120	bar:14	beat:42
time:16728	pitch:74	volume:120	bar:14	beat:42
time:16728	pitch:77	volume:120	bar:14	beat:42
time:16728	pitch:70	volume:0	bar:14	beat:42
