0		64		127
250		64		0
300		71		127
550		71		0
600		79		127
600		76		127
850		79		0
850		76		0
900		86		127
900		71		127
1150		71		0
1200		60		127
1450		60		0
1450		67		127
1650		86		0
1750		78		127
1750		67		0
1750		72		127
2000		78		0
2000		72		0
2050		79		127
2050		67		127
2300		67		0
2350		55		127
2600		55		0
2650		62		127
2900		62		0
2900		67		127
3100		79		0
3200		67		0
3200		62		127
3200		79		127
3450		62		0
3450		79		0
3500		54		127
3500		84		127
3750		54		0
3750		84		0
3800		62		127
3800		83		127
3900		83		0
3900		84		127
4000		84		0
4000		83		127
4050		62		0
4100		83		0
4100		81		127
4100		67		127
4350		79		127
4350		62		127
4350		67		0
4350		81		0
4650		62		0
4650		64		127
4900		64		0
4950		71		127
5200		79		0
5200		71		0
5250		79		127
5250		76		127
5500		79		0
5500		76		0
5550		86		127
5550		71		127
5800		60		127
5800		71		0
6100		67		127
6100		60		0
6300		86		0
6350		67		0
6400		74		127
6400		78		127
6650		78		0
6650		74		0
6700		67		127
6700		79		127
6950		67		0
7000		55		127
7250		55		0
7250		62		127
7550		62		0
7550		67		127
7750		79		0
7800		67		0
7850		62		127
7850		79		127
8100		62		0
8100		79		0
8150		54		127
8150		91		127
8400		54		0
8450		62		127
8550		91		0
8550		90		127
8700		62		0
8700		67		127
9000		67		0
9000		62		127
9000		90		0
9000		86		127
9250		86		0
9250		62		0
9300		64		127
9550		64		0
9600		71		127
9850		79		127
9850		71		0
9850		76		127
10150		71		127
10150		86		127
10150		79		0
10150		76		0
10400		71		0
10450		60		127
10700		60		0
10750		67		127
10950		86		0
11000		67		0
11050		72		127
11050		54		100
11050		78		127
11300		79		127
11300		78		0
11300		67		127
11300		72		0
11300		55		100
11400		54		0
11600		55		127
11600		67		0
11850		55		0
11900		62		127
12150		62		0
12200		67		127
12400		79		0
12450		67		0
12500		62		127
12500		79		127
12750		84		127
12750		79		0
12750		54		127
12750		62		0
12750		54		100
12900		55		0
13050		62		127
13050		54		0
13050		84		0
13050		83		127
13150		84		127
13200		83		0
13250		83		127
13300		62		0
13300		84		0
13350		67		127
13350		81		127
13400		83		0
13600		81		0
13600		67		0
13650		79		127
13650		62		127
13900		79		0
13900		62		0
13950		52		127
13950		83		127
13950		79		127
14000		54		0
14200		59		127
14200		52		0
14300		83		0
14300		79		0
14350		79		127
14500		59		0
14500		64		127
14750		79		0
14750		64		0
14800		84		127
14800		59		127
14800		79		127
15050		59		0
15100		48		127
15100		55		100
15200		84		0
15200		79		0
15250		83		127
15350		48		0
15400		55		127
15600		83		0
15650		81		127
15650		55		0
15650		59		127
15950		55		127
15950		59		0
15950		79		127
15950		81		0
16200		55		0
16200		79		0
16250		50		127
16250		57		127
16250		62		127
16250		79		127
16250		57		100
16250		74		127
16250		81		127
16350		55		0
17300		74		0
17300		81		0
17300		79		0
17400		54		100
17400		78		127
17550		57		0
18350		62		0
18350		57		0
18350		50		0
18450		78		0
18550		52		127
18550		35		100
18600		35		0
18750		54		0
18850		52		0
18850		76		100
18850		79		127
18850		59		127
18900		76		0
19100		79		0
19100		59		0
19150		78		127
19150		64		127
19150		39		100
19150		39		0
19400		78		0
19400		64		0
19450		59		127
19450		35		100
19450		44		100
19450		44		0
19450		35		0
19450		74		127
19700		59		0
19700		74		0
19750		48		127
19750		35		100
19750		35		0
19750		79		127
20000		48		0
20000		76		100
20000		55		127
20050		76		0
20100		79		0
20150		78		127
20300		39		100
20300		55		0
20300		54		100
20300		60		127
20350		39		0
20550		78		0
20550		60		0
20600		55		127
20600		44		100
20600		44		0
20600		55		100
20600		74		127
20800		54		0
20850		55		0
20900		35		100
20900		35		0
20900		55		127
21150		55		0
21200		62		127
21200		76		100
21200		76		0
21450		62		0
21450		55		127
21450		39		100
21500		39		0
21750		55		0
21750		50		127
21750		44		100
21750		35		100
21800		44		0
21800		35		0
21900		35		0
21900		35		100
22000		50		0
22050		35		100
22050		35		0
22050		54		127
22050		54		100
22250		55		0
22300		54		0
22350		76		0
22350		76		100
22350		62		127
22600		62		0
22650		55		127
22650		39		0
22650		39		100
22900		44		100
22900		55		0
22900		50		127
22950		44		0
23000		74		0
23200		52		127
23200		35		100
23200		52		100
23200		50		0
23250		35		0
23350		54		0
23450		52		0
23500		76		100
23500		76		0
23500		79		127
23500		59		127
23750		59		0
23750		79		0
23800		78		127
23800		64		127
23800		39		0
23800		39		100
24050		64		0
24050		78		0
24100		59		127
24100		44		0
24100		35		0
24100		35		100
24100		44		100
24100		74		127
24350		59		0
24350		48		127
24350		35		100
24350		79		127
24350		74		0
24400		35		0
24650		48		0
24650		55		127
24650		76		100
24700		76		0
24750		79		0
24800		78		127
24900		55		0
24950		39		0
24950		39		100
24950		54		100
24950		60		127
25000		52		0
25200		60		0
25250		55		100
25250		55		127
25250		44		100
25250		44		0
25400		54		0
25400		79		127
25450		86		127
25450		78		0
25500		62		100
25500		35		100
25500		55		0
25500		55		127
25550		35		0
25600		55		0
25800		55		0
25800		62		127
25800		76		100
25850		76		0
26050		62		0
26100		39		0
26100		39		100
26100		55		127
26350		55		0
26400		44		100
26400		50		127
26400		35		0
26400		35		100
26400		44		0
26550		35		0
26550		35		100
26650		50		0
26700		35		0
26700		35		100
26700		54		127
26850		79		0
26850		79		127
26900		91		127
26900		86		0
26950		62		127
26950		54		0
26950		76		100
27000		76		0
27100		79		0
27200		91		0
27250		60		100
27250		39		100
27250		55		127
27250		90		127
27250		78		127
27250		62		0
27300		39		0
27350		62		0
27500		78		0
27500		90		0
27500		55		0
27550		74		127
27550		86		127
27550		50		127
27550		44		0
27550		44		100
27800		50		0
27800		74		0
27850		59		100
27850		52		127
27850		35		100
27850		35		0
27850		74		127
27950		60		0
28100		52		0
28100		74		0
28100		86		0
28150		83		127
28150		59		127
28150		76		0
28150		76		100
28400		59		0
28400		64		127
28400		39		100
28400		79		127
28400		83		0
28450		39		0
28700		64		0
28700		59		127
28700		44		100
28700		35		100
28750		44		0
28750		35		0
28950		79		0
28950		59		0
29000		74		127
29000		48		127
29000		35		100
29000		35		0
29250		48		0
29300		76		100
29300		76		0
29300		55		127
29400		74		0
29450		79		127
29550		55		0
29600		55		100
29600		62		127
29600		39		100
29600		39		0
29700		59		0
29850		44		100
29850		79		0
29850		78		127
29850		62		0
29850		55		127
29900		44		0
30150		35		100
30150		35		0
30150		57		100
30150		55		0
30150		79		127
30150		78		0
30150		55		127
30350		55		0
30400		55		0
30450		76		0
30450		76		100
30450		62		127
30700		62		0
30750		39		0
30750		39		100
30750		55		127
31000		55		0
31050		35		0
31050		44		0
31050		35		100
31050		44		100
31050		62		127
31150		35		100
31200		35		0
31200		79		0
31300		84		127
31300		35		100
31300		62		0
31300		54		127
31300		54		100
31350		57		0
31350		35		0
31550		54		0
31600		62		127
31600		76		100
31600		76		0
31700		84		0
31750		83		127
31850		62		0
31900		39		0
31900		55		127
31900		39		100
31900		55		100
31950		54		0
32150		83		0
32150		55		0
32200		44		100
32200		44		0
32200		79		127
32200		62		127
32450		52		127
32450		35		100
32450		62		0
32500		35		0
32750		52		0
32750		59		127
32750		79		127
32750		74		127
32750		79		0
32750		76		100
32800		76		0
33000		79		0
33000		74		0
33000		59		0
33050		64		127
33050		78		127
33050		39		0
33050		39		100
33300		64		0
33300		78		0
33350		35		0
33350		59		127
33350		74		127
33350		44		100
33350		35		100
33350		44		0
33600		74		0
33600		59		0
33650		79		127
33650		35		0
33650		35		100
33650		48		127
33900		76		100
33900		48		0
33900		55		127
33950		76		0
34000		79		0
34050		78		127
