time	track	channel	bar	pitch	volume	instrument
24	14	9	1	35
24	13	9	1	31
28	14	9	1	35
28	13	9	1	31
28	13	9	1	31
28	14	9	1	35
30	14	9	1	35
30	13	9	1	31
30	13	9	1	31
30	14	9	1	35
32	11	9	2	48
32	12	9	2	57
32	12	9	2	59
32	13	9	2	31
32	14	9	2	35
32	15	9	2	29
32	16	9	2	33
32	14	9	2	35
32	13	9	2	31
39	11	9	2	48
39	16	9	2	33
39	15	9	2	29
39	14	9	2	35
39	13	9	2	31
40	14	9	2	35
40	13	9	2	31
43	14	9	2	35
43	13	9	2	31
44	14	9	2	35
44	13	9	2	31
46	14	9	2	35
46	13	9	2	31
46	14	9	2	35
46	13	9	2	31
47	12	9	2	59
47	12	9	2	57
48	16	9	3	33
48	15	9	3	29
48	14	9	3	35
48	13	9	3	31
48	12	9	3	57
48	12	9	3	59
48	11	9	3	48
48	14	9	3	35
48	13	9	3	31
55	16	9	3	33
55	15	9	3	29
55	14	9	3	35
55	13	9	3	31
55	11	9	3	48
56	14	9	3	35
56	13	9	3	31
59	14	9	3	35
59	13	9	3	31
60	14	9	3	35
60	13	9	3	31
62	14	9	3	35
62	13	9	3	31
62	14	9	3	35
62	13	9	3	31
63	12	9	3	59
63	12	9	3	57
64	16	9	4	33
64	15	9	4	29
64	14	9	4	35
64	13	9	4	31
64	12	9	4	59
64	12	9	4	57
64	11	9	4	48
64	13	9	4	31
64	14	9	4	35
67	11	9	4	48
67	12	9	4	57
67	12	9	4	59
67	13	9	4	31
67	14	9	4	35
67	15	9	4	29
67	16	9	4	33
68	11	9	4	48
68	12	9	4	59
68	12	9	4	57
68	13	9	4	31
68	14	9	4	35
68	15	9	4	29
68	16	9	4	33
75	11	9	4	48
75	16	9	4	33
75	15	9	4	29
75	13	9	4	31
75	14	9	4	35
76	11	9	4	48
76	13	9	4	31
76	14	9	4	35
76	16	9	4	33
78	12	9	4	59
78	12	9	4	57
80	16	9	4	33
80	14	9	4	35
80	13	9	4	31
80	11	9	4	48
81	11	9	5	48
81	16	9	5	33
81	15	9	5	29
81	14	9	5	35
81	12	9	5	59
81	12	9	5	57
84	15	9	5	29
84	16	9	5	33
85	14	9	5	35
85	13	9	5	31
87	11	9	5	48
87	14	9	5	35
88	14	9	5	35
88	13	9	5	31
89	14	9	5	35
89	11	9	5	48
92	11	9	5	48
92	14	9	5	35
93	11	9	5	48
93	13	9	5	31
93	14	9	5	35
96	13	9	5	31
96	14	9	5	35
96	11	9	5	48
96	12	9	5	59
96	12	9	5	57
97	16	9	6	33
97	14	9	6	35
97	12	9	6	59
97	12	9	6	57
97	11	9	6	48
100	16	9	6	33
101	13	9	6	31
102	14	9	6	35
103	11	9	6	48
103	14	9	6	35
104	13	9	6	31
105	11	9	6	48
105	14	9	6	35
105	14	9	6	35
108	11	9	6	48
108	14	9	6	35
109	11	9	6	48
109	13	9	6	31
109	14	9	6	35
112	13	9	6	31
112	14	9	6	35
112	11	9	6	48
112	12	9	6	57
112	12	9	6	59
113	16	9	7	33
113	14	9	7	35
113	12	9	7	57
113	12	9	7	59
113	11	9	7	48
