time	duration	track	channel	instrument	pitch	velocity	bar	beat
8084339	87873	1	0	48	94	120	5.750000	23.000000
8084339	87873	2	1	48	62	120	5.750000	23.000000
8084339	87873	2	1	48	69	120	5.750000	23.000000
8435832	87873	1	0	48	81	120	6.000000	24.000000
8435832	87873	1	0	48	84	120	6.000000	24.000000
8435832	87873	1	0	48	93	120	6.000000	24.000000
8435832	87873	2	1	48	67	120	6.000000	24.000000
8435832	87873	2	1	48	79	120	6.000000	24.000000
8611578	87873	2	1	48	67	120	6.125000	24.500000
8611578	87873	2	1	48	79	120	6.125000	24.500000
8963071	87873	2	1	48	67	120	6.375000	25.500000
8963071	87873	2	1	48	79	120	6.375000	25.500000
9138818	87873	1	0	48	77	120	6.500000	26.000000
9138818	87873	1	0	48	81	120	6.500000	26.000000
9138818	87873	1	0	48	89	120	6.500000	26.000000
9138818	87873	2	1	48	69	120	6.500000	26.000000
9138818	87873	2	1	48	81	120	6.500000	26.000000
9314564	87873	2	1	48	69	120	6.625000	26.500000
9314564	87873	2	1	48	81	120	6.625000	26.500000
9666057	87873	2	1	48	69	120	6.875000	27.500000
9666057	87873	2	1	48	81	120	6.875000	27.500000
9841804	87873	1	0	48	74	120	7.000000	28.000000
9841804	87873	1	0	48	77	120	7.000000	28.000000
9841804	87873	1	0	48	86	120	7.000000	28.000000
9841804	87873	2	1	48	69	120	7.000000	28.000000
9841804	87873	2	1	48	81	120	7.000000	28.000000
10017550	87873	2	1	48	70	120	7.125000	28.500000
10017550	87873	2	1	48	82	120	7.125000	28.500000
10193297	87873	2	1	48	69	120	7.250000	29.000000
10193297	87873	2	1	48	81	120	7.250000	29.000000
10369043	87873	2	1	48	65	120	7.375000	29.500000
10369043	87873	2	1	48	70	120	7.375000	29.500000
10369043	87873	2	1	48	82	120	7.375000	29.500000
10544790	87873	2	1	48	62	120	7.500000	30.000000
10544790	87873	2	1	48	69	120	7.500000	30.000000
10544790	87873	2	1	48	81	120	7.500000	30.000000
10720536	87873	2	1	48	60	120	7.625000	30.500000
10720536	87873	2	1	48	65	120	7.625000	30.500000
10720536	87873	2	1	48	77	120	7.625000	30.500000
10896283	87873	2	1	48	58	120	7.750000	31.000000
10896283	87873	2	1	48	74	120	7.750000	31.000000
11072029	87873	2	1	48	57	120	7.875000	31.500000
11072029	87873	2	1	48	65	120	7.875000	31.500000
11072029	87873	2	1	48	72	120	7.875000	31.500000
11247776	87873	1	0	48	65	120	8.000000	32.000000
11247776	87873	1	0	48	70	120	8.000000	32.000000
11247776	87873	1	0	48	77	120	8.000000	32.000000
11247776	87873	2	1	48	58	120	8.000000	32.000000
11247776	87873	2	1	48	63	120	8.000000	32.000000
11247776	87873	2	1	48	70	120	8.000000	32.000000
11423522	87873	2	1	48	63	120	8.125000	32.500000
11423522	87873	2	1	48	70	120	8.125000	32.500000
11775015	87873	2	1	48	63	120	8.375000	33.500000
11775015	87873	2	1	48	70	120	8.375000	33.500000
11950762	87873	1	0	48	77	120	8.500000	34.000000
11950762	87873	1	0	48	82	120	8.500000	34.000000
11950762	87873	1	0	48	89	120	8.500000	34.000000
11950762	87873	2	1	48	63	120	8.500000	34.000000
11950762	87873	2	1	48	70	120	8.500000	34.000000
12126508	87873	2	1	48	63	120	8.625000	34.500000
12126508	87873	2	1	48	70	120	8.625000	34.500000
12478001	87873	2	1	48	63	120	8.875000	35.500000
12478001	87873	2	1	48	70	120	8.875000	35.500000
12653748	87873	1	0	48	72	120	9.000000	36.000000
12653748	87873	1	0	48	77	120	9.000000	36.000000
12653748	87873	1	0	48	84	120	9.000000	36.000000
12653748	87873	2	1	48	63	120	9.000000	36.000000
12653748	87873	2	1	48	70	120	9.000000	36.000000
12829494	87873	2	1	48	63	120	9.125000	36.500000
12829494	87873	2	1	48	70	120	9.125000	36.500000
13180987	87873	2	1	48	63	120	9.375000	37.500000
13180987	87873	2	1	48	70	120	9.375000	37.500000
13356734	87873	2	1	48	63	120	9.500000	38.000000
13356734	87873	2	1	48	70	120	9.500000	38.000000
13532480	87873	2	1	48	63	120	9.625000	38.500000
13532480	87873	2	1	48	70	120	9.625000	38.500000
13708227	87873	2	1	48	63	120	9.750000	39.000000
13708227	87873	2	1	48	70	120	9.750000	39.000000
13883973	87873	2	1	48	65	120	9.875000	39.500000
13883973	87873	2	1	48	72	120	9.875000	39.500000
14059720	87873	1	0	48	70	120	10.000000	40.000000
14059720	87873	1	0	48	77	120	10.000000	40.000000
14059720	87873	1	0	48	82	120	10.000000	40.000000
14059720	87873	2	1	48	63	120	10.000000	40.000000
