0	250	1	0	48	65	120
0	250	1	0	48	70	120
0	250	1	0	48	77	120
0	250	2	1	48	63	120
0	250	2	1	48	70	120
500	250	2	1	48	63	120
500	250	2	1	48	70	120
1500	250	2	1	48	63	120
1500	250	2	1	48	70	120
2000	250	1	0	48	77	120
2000	250	1	0	48	82	120
2000	250	1	0	48	89	120
2000	250	2	1	48	63	120
2000	250	2	1	48	70	120
2500	250	2	1	48	63	120
2500	250	2	1	48	70	120
3500	250	2	1	48	63	120
3500	250	2	1	48	70	120
4000	250	1	0	48	72	120
4000	250	1	0	48	77	120
4000	250	1	0	48	84	120
4000	250	2	1	48	63	120
4000	250	2	1	48	70	120
4500	250	2	1	48	63	120
4500	250	2	1	48	70	120
5500	250	2	1	48	63	120
5500	250	2	1	48	70	120
6000	250	2	1	48	63	120
6000	250	2	1	48	70	120
6500	250	2	1	48	63	120
6500	250	2	1	48	70	120
7000	250	2	1	48	63	120
7000	250	2	1	48	70	120
7500	250	2	1	48	65	120
7500	250	2	1	48	72	120
8000	250	1	0	48	70	120
8000	250	1	0	48	77	120
8000	250	1	0	48	82	120
8000	250	2	1	48	63	120
8000	250	2	1	48	70	120
8500	250	2	1	48	63	120
8500	250	2	1	48	70	120
9500	250	2	1	48	63	120
9500	250	2	1	48	70	120
10000	250	1	0	48	77	120
10000	250	1	0	48	82	120
10000	250	1	0	48	89	120
10000	250	2	1	48	63	120
10000	250	2	1	48	70	120
10500	250	2	1	48	63	120
10500	250	2	1	48	70	120
11500	250	2	1	48	63	120
11500	250	2	1	48	70	120
12000	250	1	0	48	65	120
12000	250	1	0	48	70	120
12000	250	1	0	48	77	120
12000	250	2	1	48	63	120
12000	250	2	1	48	70	120
12500	250	2	1	48	63	120
12500	250	2	1	48	70	120
13500	250	2	1	48	63	120
13500	250	2	1	48	70	120
14000	250	2	1	48	63	120
14000	250	2	1	48	70	120
14500	250	2	1	48	63	120
14500	250	2	1	48	70	120
15000	250	2	1	48	63	120
15000	250	2	1	48	70	120
15500	250	2	1	48	65	120
15500	250	2	1	48	72	120
16000	250	1	0	48	65	120
16000	250	1	0	48	69	120
16000	250	1	0	48	77	120
16000	250	2	1	48	62	120
16000	250	2	1	48	69	120
16500	250	2	1	48	62	120
16500	250	2	1	48	69	120
17500	250	2	1	48	62	120
17500	250	2	1	48	69	120
18000	250	1	0	48	69	120
18000	250	1	0	48	77	120
18000	250	1	0	48	81	120
18000	250	2	1	48	62	120
18000	250	2	1	48	69	120
18500	250	2	1	48	62	120
18500	250	2	1	48	69	120
19500	250	2	1	48	62	120
19500	250	2	1	48	69	120
20000	250	1	0	48	81	120
20000	250	1	0	48	84	120
20000	250	1	0	48	93	120
20000	250	2	1	48	62	120
20000	250	2	1	48	69	120
20500	250	2	1	48	62	120
20500	250	2	1	48	69	120
21500	250	2	1	48	62	120
21500	250	2	1	48	69	120
22000	250	2	1	48	62	120
22000	250	2	1	48	69	120
22500	250	2	1	48	62	120
22500	250	2	1	48	69	120
23000	250	1	0	48	82	120
23000	250	1	0	48	86	120
23000	250	1	0	48	94	120
23000	250	2	1	48	62	120
23000	250	2	1	48	69	120
24000	250	1	0	48	81	120
24000	250	1	0	48	84	120
24000	250	1	0	48	93	120
24000	250	2	1	48	67	120
24000	250	2	1	48	79	120
24500	250	2	1	48	67	120
24500	250	2	1	48	79	120
25500	250	2	1	48	67	120
25500	250	2	1	48	79	120
26000	250	1	0	48	77	120
26000	250	1	0	48	81	120
26000	250	1	0	48	89	120
26000	250	2	1	48	69	120
26000	250	2	1	48	81	120
26500	250	2	1	48	69	120
26500	250	2	1	48	81	120
27500	250	2	1	48	69	120
27500	250	2	1	48	81	120
28000	250	1	0	48	74	120
28000	250	1	0	48	77	120
28000	250	1	0	48	86	120
28000	250	2	1	48	69	120
28000	250	2	1	48	81	120
28500	250	2	1	48	70	120
28500	250	2	1	48	82	120
