time	track	channel	pitch	volume	instrument
340	1	1	81	0	39
340	1	1	72	80	39
342	2	4	57	0	4
344	1	1	72	0	39
344	1	1	84	80	39
344	2	4	72	56	4
344	6	9	42	0	0
344	6	9	38	0	0
344	6	9	42	72	0
346	5	7	45	0	35
348	1	1	84	0	39
348	1	1	81	80	39
348	6	9	42	0	0
348	6	9	38	72	0
351	2	4	72	0	4
352	1	1	81	0	39
352	1	1	79	80	39
352	2	4	60	53	4
352	2	4	69	56	4
352	2	4	57	53	4
352	2	4	67	0	4
352	2	4	64	0	4
352	4	6	67	0	48
352	4	6	72	0	48
352	4	6	76	0	48
352	4	6	60	34	48
352	4	6	65	48	48
352	4	6	69	45	48
352	5	7	38	65	35
352	6	9	35	72	0
352	6	9	38	0	0
352	6	9	42	72	0
356	1	1	79	0	39
356	1	1	81	80	39
356	6	9	38	72	0
356	6	9	42	0	0
359	2	4	69	0	4
360	1	1	81	0	39
360	1	1	77	80	39
360	2	4	65	39	4
360	6	9	38	0	0
360	6	9	35	0	0
360	6	9	35	72	0
360	6	9	42	72	0
364	1	1	77	0	39
364	1	1	79	80	39
364	3	5	57	53	25
367	2	4	65	0	4
368	1	1	79	0	39
368	1	1	76	80	39
368	2	4	69	56	4
368	3	5	62	62	25
368	3	5	65	68	25
368	6	9	42	0	0
368	6	9	38	72	0
368	6	9	35	0	0
368	6	9	42	72	0
372	1	1	76	0	39
372	1	1	77	80	39
374	5	7	38	0	35
375	3	5	57	0	25
375	2	4	69	0	4
375	3	5	62	0	25
375	3	5	65	0	25
376	1	1	77	0	39
376	1	1	72	80	39
376	2	4	65	45	4
376	5	7	33	68	35
376	6	9	42	72	0
376	6	9	38	0	0
376	6	9	42	0	0
378	4	6	65	0	48
378	4	6	60	0	48
381	4	6	69	0	48
381	2	4	57	0	4
382	2	4	60	0	4
383	2	4	65	0	4
383	5	7	33	0	35
384	1	1	72	0	39
384	1	1	76	80	39
384	2	4	58	56	4
384	4	6	74	46	48
384	4	6	58	41	48
384	4	6	69	36	48
384	5	7	46	72	35
