0	5259409
0	4206227
46	16529
48	5259665
94	16785
94	11923
96	5260177
96	4208019
142	17297
144	5260689
190	13715
192	4209043
238	17809
240	5258385
286	15505
288	5261457
334	18577
336	5260689
382	14739
384	4206739
478	12435
480	4207763
574	13459
576	4208531
766	17809
766	14227
768	5259409
768	4205971
814	16529
816	5259665
862	16785
862	11667
864	5260177
864	4207763
910	17297
912	5260689
958	13459
960	4208531
1006	17809
1008	5258385
1054	15505
1056	5261457
1102	18577
1104	5260689
1150	17809
1150	14227
1152	5260177
1152	4207251
1198	17297
1200	5260689
1246	17809
1246	12947
1248	5259665
1248	4208019
1294	16785
1296	5260177
1342	17297
1342	13715
1344	5259409
1344	4209043
1390	16529
1392	5259665
1438	16785
1440	5258385
1534	15505
1534	14739
1536	5259409
1536	4206227
1582	16529
1584	5259665
1630	16785
1630	11923
1632	5260177
1632	4208019
1678	17297
1680	5260689
1726	13715
1728	4209043
1774	17809
1776	5258385
1822	15505
1824	5261457
1870	18577
1872	5260689
1918	14739
1920	4206739
2014	12435
2016	4207763
2110	13459
2112	4208531
2302	17809
2302	14227
2304	5259409
2304	4205971
2350	16529
2352	5259665
2398	16785
2398	11667
2400	5260177
2400	4207763
2446	17297
2448	5260689
2494	13459
2496	4208531
2542	17809
2544	5258385
2590	15505
2592	5261457
2638	18577
2640	5260689
2640	4728473
2664	9881
2664	4728473
2686	17809
2686	14227
2688	5260177
2688	4207251
2688	9881
2688	4728473
2734	17297
2736	5260689
2736	9881
2736	4728473
2782	17809
2782	12947
2784	5259665
2784	4208019
2784	4727705
2784	9881
2830	16785
2832	5260177
2832	9113
2832	4728473
2878	17297
2878	13715
2880	5259409
2880	4209043
2880	9881
2880	4728473
2926	16529
2928	5259665
2974	16785
2976	5258385
2976	9881
2976	4728473
3024	9881
3024	4728473
3070	15505
3070	14739
3072	5262481
3072	3685012
3072	2374294
3072	2246038
3072	3164822
3072	4075159
3072	4727705
3072	9881
3072	4731289
3118	19601
3120	5262737
3166	19857
3168	5263249
3168	3490196
3168	9113
3168	4727705
3168	4729497
3168	12697
3214	20369
3216	5263761
3264	3491220
3264	9113
3264	4728473
3264	10905
3264	4729497
3310	20881
3312	5261457
3347	14996
3358	18577
3360	5264529
3360	3689108
3360	9881
3360	10905
3360	4729497
3393	11927
3406	21649
3408	5263761
3451	19092
3456	3487636
3456	3488916
3456	16788
3456	3687316
3456	17812
3456	2371734
3456	14998
3456	2243734
3456	3162262
3456	17814
3456	19094
3456	4465815
3456	4727705
3456	10905
3456	4729497
3504	4728473
3504	10905
3547	17300
3552	2572436
3552	9113
3552	4727705
3552	9881
3552	4729497
3600	3487637
3640	9367
3643	16532
3648	3688596
3648	4078741
3648	4472981
3648	4270231
3648	9113
3648	4728473
3648	10905
3648	4729497
3737	14229
3739	18580
3739	15509
3739	16533
3739	10391
3744	2966420
3744	3874711
3744	9881
3744	10905
3744	4729497
3809	12438
3812	14228
3816	15508
3835	17300
3835	8087
3838	20881
3840	5262481
3840	3684756
3840	15510
3840	16534
3840	2245526
3840	3164310
3840	2968726
3840	4271511
3840	4727705
3840	10905
3840	4729497
3886	19601
3888	5262737
3934	19857
3936	5263249
3936	3489940
3936	9113
3936	4727705
3936	10905
3936	4729497
3982	20369
3984	5263761
4032	3490708
4032	9113
4032	4728473
4032	10905
4032	4729497
4078	20881
4080	5261457
4115	14740
4126	18577
4128	5264529
4128	3688596
4128	9881
4128	10905
4128	4729497
4161	11671
4174	21649
4176	5263761
4176	4728473
4176	10905
4219	18580
4222	20881
4224	5263249
4224	3488148
4224	3488916
4224	16532
4224	17300
4224	3687828
4224	2243734
4224	3162518
4224	17302
4224	2966934
4224	18582
4224	19606
4224	4269719
4224	4727705
4224	9881
4224	4729497
4270	20369
4272	5263761
4272	4728473
4272	10905
4315	17812
4318	20881
4320	5262737
4320	2572692
4320	9113
4320	4727705
4320	9881
4320	4729497
4366	19857
4368	5263249
4368	3488149
4411	16788
4414	20369
4416	5262481
4416	3687828
4416	4079253
4416	4473237
4416	9113
4416	4728473
4416	10905
4416	4729497
4462	19601
4464	5262737
4499	9879
4505	14741
4507	17812
4507	16021
4507	16789
4510	19857
4512	5261457
4512	2965908
4512	4465047
4512	9881
4512	10905
4512	4729497
4545	15510
4545	16790
4577	17814
4580	14740
4584	15508
4603	16788
4603	8599
4606	18577
4608	5262481
4608	3685012
4608	2701974
4608	2377110
4608	3033750
4608	4730519
4608	4727705
4608	10905
4608	4729497
4654	19601
4656	5262737
4656	4728473
4656	10905
4702	19857
4704	5263249
4704	3490196
4704	9113
4704	4727705
4704	9881
4704	4729497
4750	20369
4752	5263761
4800	3491220
4800	9113
4800	4728473
4800	10905
4800	4729497
4846	20881
4848	5261457
4883	14996
4894	18577
4896	5264529
4896	3689108
4896	9881
4896	10905
4896	4729497
4929	11927
4942	21649
4944	5263761
4944	4728473
4944	10905
4987	19092
4992	3487636
4992	3488916
4992	16788
4992	3687316
4992	17812
4992	2699414
4992	14998
4992	2374806
4992	3031190
4992	17814
4992	19094
4992	4269207
4992	4727705
4992	9881
4992	4729497
5040	4728473
5040	10905
5083	17300
5088	2572436
5088	9881
5088	4731545
5136	3487637
5176	9367
5179	16532
5184	3688596
5184	4078741
5184	4472981
5184	4728983
5184	9113
5184	4730777
5184	12953
5232	12185
5232	4730777
5273	14229
5275	18580
5275	15509
5275	16533
5275	10391
5280	2966420
5280	4464535
5280	4730265
5280	12185
5345	12438
5345	15510
5345	16534
5348	14228
5352	15508
5371	17300
5371	8087
5374	20881
5376	5258897
5376	5260177
5376	3682964
5376	2899606
5376	2900886
5376	3163542
5376	4269719
5376	4727705
5376	11673
5376	4731289
5472	3488148
5568	3489428
5568	9113
5568	12697
5651	12948
5664	3687316
5697	9879
5755	17300
5758	16017
5758	17297
5760	5258897
5760	5259921
5760	14740
5760	3488148
5760	16020
5760	3489428
5760	3687828
5760	16022
5760	2899606
5760	2900630
5760	17302
5760	17814
5760	3163542
5760	4269719
5760	4731801
5784	13209
5784	4731801
5808	13209
5851	17812
5856	2572948
5904	3488149
5947	17044
5952	3687828
5952	4079253
5952	4473493
