0	0	500000	0
5760	0	882352	6000000
7680	0	769230	9529408
8040	0	967741	10106330
8520	0	769230	11074071
17280	0	833333	25112518
17760	0	967741	25945851
18240	0	1034482	26913592
18720	0	1250000	27948074
19200	0	1714285	29198074
19680	0	555555	30912359
24960	0	612244	37023464
26880	0	789473	39472440
27360	0	555555	40261913
32640	0	576923	46373018
33600	0	566037	47526864
34080	0	576923	48092901
34560	0	555555	48669824
44160	0	612244	59780924
46080	0	652173	62229900
47520	0	769230	64186419
48000	0	882352	64955649
48480	0	405405	65838001
49920	0	588235	67054216
51840	0	555555	69407156
80640	0	588235	102740456
82560	0	625000	105093396
83040	0	555555	105718396
88320	0	625000	111829501
89520	0	588235	113392001
90000	0	625000	113980236
90240	0	555555	114292736
96000	0	612244	120959396
96960	0	571428	122183884
97440	0	612244	122755312
97920	0	652173	123367556
98400	0	555555	124019729
119040	0	612244	147908594
120960	0	789473	150357570
121440	0	555555	151147043
126720	0	576923	157258148
127680	0	566037	158411994
128160	0	576923	158978031
128640	0	555555	159554954
138240	0	612244	170666054
140160	0	652173	173115030
140640	0	555555	173767203
161280	0	600000	197656068
161760	0	625000	198256068
162240	0	882352	198881068
162720	0	555555	199763420
192000	0	588235	233652275
193920	0	625000	236005215
194400	0	555555	236630215
199680	0	625000	242741320
200880	0	588235	244303820
201360	0	625000	244892055
201600	0	555555	245204555
207360	0	612244	251871215
208320	0	571428	253095703
208800	0	612244	253667131
209280	0	652173	254279375
209760	0	555555	254931548
230400	0	612244	278820413
232320	0	789473	281269389
232800	0	555555	282058862
238080	0	576923	288169967
239040	0	566037	289323813
239520	0	576923	289889850
240000	0	555555	290466773
303360	0	588235	363800033
304320	0	566037	364976503
304800	0	588235	365542540
305280	0	697674	366130775
305760	0	555555	366828449
311040	0	697674	372939554
312000	0	652173	374334902
312480	0	697674	374987075
312960	0	789473	375684749
313440	0	731707	376474222
