17760	2	15	\It's
18240	2	15	been
18720	2	15	a
19200	2	15	lo-
19440	2	15	n-
19680	2	15	g..
20640	2	15	da-
21360	2	15	y..-
22800	2	15	/With-
23040	2	15	out
23520	2	15	you,
24000	2	15	my
24480	2	15	friend..-
26400	2	15	/And
26640	2	15	I'll
26880	2	15	tell
27360	2	15	you
27840	2	15	all
28320	2	15	a-
28800	2	15	bout
29280	2	15	it-
29760	2	15	/When
30240	2	15	I
30720	2	15	see
31200	2	15	you
31680	2	15	a-
32160	2	15	gai-
32640	2	15	n..-
33840	2	15	/We've
34080	2	15	come
34320	2	15	a
34560	2	15	lo~-
35040	2	15	ng..
36000	2	15	wa-
36960	2	15	y..-
38160	2	15	/From
38400	2	15	where
38880	2	15	we
39360	2	15	be-
39840	2	15	ga-
40320	2	15	n..-
41280	2	15	/Oh,
41760	2	15	I'll
42240	2	15	tell
42720	2	15	you
43200	2	15	all
43680	2	15	a-
44160	2	15	bout
44640	2	15	it-
45120	2	15	/When
45600	2	15	I
46080	2	15	see
46560	2	15	you
47040	2	15	a-
47520	2	15	gai-
48000	2	15	n..-
48960	2	15	/When
49440	2	15	I
49920	2	15	see
50400	2	15	you
50880	2	15	a-
51360	2	15	gain...-
55200	2	15	\Rap: Damn,
56160	2	15	who
56400	2	15	knew?-
57120	2	15	/All
57360	2	15	the
57600	2	15	planes
58080	2	15	we
58320	2	15	flew-
59040	2	15	/Good
59280	2	15	things
59760	2	15	we've
60000	2	15	been
60480	2	15	through-
61200	2	15	/That
61440	2	15	I'll
61680	2	15	be
61920	2	15	stand-
62160	2	15	ing
62400	2	15	right
62880	2	15	here
63360	2	15	talk-
63600	2	15	ing
63840	2	15	to
64080	2	15	you-
64800	2	15	/About
65040	2	15	an-
65280	2	15	oth-
65520	2	15	er
65760	2	15	path-
66480	2	15	/I
66720	2	15	know
66960	2	15	we
67200	2	15	loved
67440	2	15	to
67680	2	15	hit
67920	2	15	the
68160	2	15	road
68400	2	15	and
68640	2	15	laugh-
69360	2	15	/But
69600	2	15	some-
69840	2	15	thing
70080	2	15	told
70320	2	15	me
70560	2	15	that
70800	2	15	it
71040	2	15	would-
71280	2	15	n't
71520	2	15	last-
72480	2	15	/Had
72720	2	15	to
72960	2	15	switch
73440	2	15	up-
73920	2	15	/Look
74160	2	15	at
74400	2	15	things
74880	2	15	dif-
75120	2	15	f'ent
75360	2	15	see
75600	2	15	the
75840	2	15	big-
76080	2	15	ger
76320	2	15	pic-
76560	2	15	ture-
77280	2	15	/Those
77760	2	15	were
78000	2	15	the
78240	2	15	days-
78720	2	15	/Hard
79200	2	15	work
79440	2	15	for-
79680	2	15	ev-
79920	2	15	er
80160	2	15	pays-
81120	2	15	/Now
81360	2	15	I
81600	2	15	see
81840	2	15	you
82080	2	15	in
82320	2	15	a
82560	2	15	bet-
82800	2	15	ter
83040	2	15	place...-
85920	2	15	\Aw!...-
87360	2	15	\Sung: How
87600	2	15	could
87840	2	15	we
88080	2	15	not
88560	2	15	talk
88800	2	15	a-
89040	2	15	bout
89280	2	15	fam-
89520	2	15	'ly-
89760	2	15	/when
90000	2	15	fam-
90240	2	15	'ly's
90480	2	15	all
90720	2	15	that
90960	2	15	we
91200	2	15	got?-
91920	2	15	/Ev-
92160	2	15	'ry-
92400	2	15	thing
92640	2	15	I
92880	2	15	went
93120	2	15	through-
93360	2	15	/you
93600	2	15	were
93840	2	15	stand-
94080	2	15	ing
94320	2	15	there
94560	2	15	by
94800	2	15	my
95040	2	15	side-
95760	2	15	/And
96000	2	15	now
96240	2	15	you
96480	2	15	gon-
96600	2	15	na
96720	2	15	be
96960	2	15	with
97200	2	15	me-
97440	2	15	/for
97680	2	15	the
97920	2	15	last ride..-
98400	2	15	\It's
98880	2	15	been
99360	2	15	a
99840	2	15	lo-
100080	2	15	n-
100320	2	15	g..
101280	2	15	da-
102000	2	15	y..-
103440	2	15	/With-
103680	2	15	out
104160	2	15	you,
104640	2	15	my
105120	2	15	friend..-
107040	2	15	/And
107280	2	15	I'll
107520	2	15	tell
108000	2	15	you
108480	2	15	all
108960	2	15	a-
109440	2	15	bout
109920	2	15	it-
110400	2	15	/When
110880	2	15	I
111360	2	15	see
111840	2	15	you
112320	2	15	a-
112800	2	15	gai-
113280	2	15	n..-
113520	2	15	/{I
113760	2	15	see
114000	2	15	you
114240	2	15	a-
114360	2	15	gain}-
114480	2	15	/We've
114720	2	15	come
114960	2	15	a
115200	2	15	lo~-
115680	2	15	ng..
116640	2	15	wa-
117600	2	15	y..-
117840	2	15	/{Yeah,
117960	2	15	we
118080	2	15	came
118320	2	15	a
118560	2	15	long
118680	2	15	way}-
118800	2	15	/From
119040	2	15	where
119520	2	15	we
120000	2	15	be-
120480	2	15	ga-
120960	2	15	n..-
121200	2	15	/{You
121440	2	15	know
121680	2	15	we
121800	2	15	started}-
121920	2	15	/Oh,
122400	2	15	I'll
122880	2	15	tell
123360	2	15	you
123840	2	15	all
124320	2	15	a-
124800	2	15	bout
125280	2	15	it-
125760	2	15	/When
126240	2	15	I
126720	2	15	see
127200	2	15	you
127680	2	15	a-
128160	2	15	gai-
128640	2	15	n..-
128880	2	15	/{Let
129120	2	15	me
129240	2	15	tell
129360	2	15	you}-
129600	2	15	/When
130080	2	15	I
130560	2	15	see
131040	2	15	you
131520	2	15	a-
132000	2	15	gain-
152880	2	15	\Semi~Spoken: First
153120	2	15	you
153360	2	15	both
153840	2	15	go
154080	2	15	out
154320	2	15	your
154560	2	15	way-
154800	2	15	/And
155040	2	15	the
155280	2	15	vibe
155760	2	15	is
156000	2	15	feel-
156240	2	15	ing
156480	2	15	strong-
156720	2	15	/And
156960	2	15	what's
157200	2	15	small
157440	2	15	turn
157680	2	15	to
157920	2	15	a
158160	2	15	friend-
158400	2	15	ship-
158640	2	15	/A
158880	2	15	friend-
159120	2	15	ship
159360	2	15	turn
159600	2	15	in-
159840	2	15	to
160080	2	15	a
160320	2	15	bond-
160560	2	15	/And
160800	2	15	that
161040	2	15	bond
161280	2	15	will
161520	2	15	nev-
161760	2	15	er
162000	2	15	be
162240	2	15	bro-
162480	2	15	ken-
162720	2	15	/The
162960	2	15	love
163200	2	15	will
163440	2	15	nev-
163680	2	15	er
163920	2	15	get
164160	2	15	lost..-
164880	2	15	/{And
165120	2	15	the
165360	2	15	love
165600	2	15	will
165840	2	15	nev-
166080	2	15	er
166320	2	15	get
166560	2	15	lost}-
168240	2	15	/And
168480	2	15	when
168720	2	15	broth-
168960	2	15	er-
169200	2	15	hood
169440	2	15	come
169920	2	15	first-
170160	2	15	/Then
170400	2	15	the
170640	2	15	line
170880	2	15	will
171120	2	15	nev-
171360	2	15	er
171600	2	15	be
171840	2	15	crossed-
172320	2	15	/Es-
172560	2	15	tab-
172800	2	15	lished
173040	2	15	it
173280	2	15	on
173520	2	15	our
173760	2	15	own-
174000	2	15	/When
174240	2	15	that
174480	2	15	line
174960	2	15	had
175200	2	15	to
175440	2	15	be
175680	2	15	drawn-
175920	2	15	/And
176160	2	15	that
176400	2	15	line
176880	2	15	is
177120	2	15	what
177360	2	15	we
177600	2	15	reach..-
177840	2	15	/So
178080	2	15	re-
178320	2	15	mem-
178560	2	15	ber
178800	2	15	me
179040	2	15	when
179280	2	15	I'm
179520	2	15	gone-
180720	2	15	/{Re-
180960	2	15	mem-
181200	2	15	ber
181440	2	15	me
181680	2	15	while
181920	2	15	I'm
182160	2	15	gone}-
183360	2	15	\Sung: How
183600	2	15	could
183840	2	15	we
184080	2	15	not
184560	2	15	talk
184800	2	15	a-
185040	2	15	bout
185280	2	15	fam-
185520	2	15	'ly-
185760	2	15	/when
186000	2	15	fam-
186240	2	15	'ly's
186480	2	15	all
186720	2	15	that
186960	2	15	we
187200	2	15	got?-
187920	2	15	/Ev-
188160	2	15	'ry-
188400	2	15	thing
188640	2	15	I
188880	2	15	went
189120	2	15	through-
189360	2	15	/you
189600	2	15	were
189840	2	15	stand-
190080	2	15	ing
190320	2	15	there
190560	2	15	by
190800	2	15	my
191040	2	15	side-
191760	2	15	/And
192000	2	15	now
192240	2	15	you
192480	2	15	gon-
192600	2	15	na
192720	2	15	be
192960	2	15	with
193200	2	15	me-
193440	2	15	/for
193680	2	15	the
193920	2	15	last ride..-
194400	2	15	\So
194880	2	15	let
195360	2	15	the
195840	2	15	li-
196800	2	15	ght
197280	2	15	guide
198720	2	15	your
199200	2	15	wa-
200160	2	15	y..
202080	2	15	yeah..-
204000	2	15	/Hold
204480	2	15	ev-
204960	2	15	'ry
205200	2	15	me-
205440	2	15	m-
205920	2	15	'ry
206400	2	15	a-
206640	2	15	s
206880	2	15	you
207120	2	15	go-
207840	2	15	...-
210480	2	15	/And
210720	2	15	ev-
210960	2	15	'ry
211200	2	15	road
211680	2	15	you
212160	2	15	ta-
212880	2	15	ke...-
214800	2	15	/Will
215040	2	15	a-
215520	2	15	l-
216000	2	15	wa-
216240	2	15	ys-
216480	2	15	..
216960	2	15	lead
217920	2	15	yo-
218160	2	15	u-
218400	2	15	..-
218880	2	15	/Home..
219840	2	15	Ho~-
222240	2	15	~-
222720	2	15	me-
223440	2	15	...-
225120	2	15	\It's
225600	2	15	been
226080	2	15	a
226560	2	15	lo-
226800	2	15	n-
227040	2	15	g..
228000	2	15	da-
228720	2	15	y..-
230160	2	15	/With-
230400	2	15	out
230880	2	15	you,
231360	2	15	my
231840	2	15	friend..-
233760	2	15	/And
234000	2	15	I'll
234240	2	15	tell
234720	2	15	you
235200	2	15	all
235680	2	15	a-
236160	2	15	bout
236640	2	15	it-
237120	2	15	/When
237600	2	15	I
238080	2	15	see
238560	2	15	you
239040	2	15	a-
239520	2	15	gai-
240000	2	15	n..-
241200	2	15	/We've
241440	2	15	come
241680	2	15	a
241920	2	15	lo~-
242400	2	15	ng..
243360	2	15	wa-
244320	2	15	y..-
245520	2	15	/From
245760	2	15	where
246240	2	15	we
246720	2	15	be-
247200	2	15	ga-
247680	2	15	n..-
248640	2	15	/Oh,
249120	2	15	I'll
249600	2	15	tell
250080	2	15	you
250560	2	15	all
251040	2	15	a-
251520	2	15	bout
252000	2	15	it-
252480	2	15	/When
252960	2	15	I
253440	2	15	see
253920	2	15	you
254400	2	15	a-
254880	2	15	gai-
255360	2	15	n..-
256320	2	15	/When
256800	2	15	I
257280	2	15	see
257760	2	15	you
258240	2	15	a-
258720	2	15	gain...-
288000	2	15	\When
288720	2	15	I
288960	2	15	see
289440	2	15	you
289680	2	15	a-
289920	2	15	gain...
