0	1	3	46	64	1
0	1	1	64	80	1
181250	1	1	64	0	1
187500	1	1	65	80	1
368750	1	3	46	0	1
368750	1	1	65	0	1
375000	1	3	53	64	1
375000	1	1	67	80	1
556250	1	1	67	0	1
562500	1	1	69	80	1
743750	1	3	53	0	1
750000	1	3	57	64	1
931250	1	1	69	0	1
937500	1	1	60	80	1
1118750	1	1	60	0	1
1125000	1	1	72	80	1
1306250	1	1	72	0	1
1312500	1	1	69	80	1
1493750	1	3	57	0	1
1500000	1	3	48	64	1
1868750	1	3	48	0	1
1875000	1	3	52	64	1
2243750	1	3	52	0	1
2250000	1	3	55	64	1
2993750	1	3	55	0	1
2993750	1	1	69	0	1
3000000	1	3	45	64	1
3000000	1	1	64	80	1
3181250	1	1	64	0	1
3187500	1	1	65	80	1
3368750	1	3	45	0	1
3368750	1	1	65	0	1
3375000	1	3	52	64	1
3375000	1	1	67	80	1
3556250	1	1	67	0	1
3562500	1	1	69	80	1
3743750	1	3	52	0	1
3750000	1	3	55	64	1
3931250	1	1	69	0	1
3937500	1	1	60	80	1
4118750	1	1	60	0	1
4125000	1	1	72	80	1
4306250	1	1	72	0	1
4312500	1	1	69	80	1
4493750	1	3	55	0	1
4493750	1	1	69	0	1
4500000	1	3	50	64	1
4500000	1	1	67	80	1
4681250	1	1	67	0	1
4687500	1	1	69	80	1
4868750	1	3	50	0	1
4868750	1	1	69	0	1
4875000	1	3	53	64	1
4875000	1	1	65	80	1
5056250	1	1	65	0	1
5062500	1	1	67	80	1
5243750	1	3	53	0	1
5243750	1	1	67	0	1
5250000	1	3	57	64	1
5250000	1	1	64	80	1
5431250	1	1	64	0	1
5437500	1	1	65	80	1
5618750	1	1	65	0	1
5625000	1	1	60	80	1
5993750	1	3	57	0	1
5993750	1	1	60	0	1
6000000	1	3	46	64	1
6000000	1	1	64	80	1
6181250	1	1	64	0	1
6187500	1	1	65	80	1
6368750	1	3	46	0	1
6368750	1	1	65	0	1
6375000	1	3	53	64	1
6375000	1	1	67	80	1
6556250	1	1	67	0	1
6562500	1	1	69	80	1
6743750	1	3	53	0	1
6750000	1	3	57	64	1
6931250	1	1	69	0	1
6937500	1	1	60	80	1
7118750	1	1	60	0	1
7125000	1	1	72	80	1
7306250	1	1	72	0	1
7312500	1	1	69	80	1
7493750	1	3	57	0	1
7500000	1	3	48	64	1
7868750	1	3	48	0	1
7875000	1	3	52	64	1
8243750	1	3	52	0	1
8250000	1	3	55	64	1
8993750	1	3	55	0	1
8993750	1	1	69	0	1
9000000	1	3	45	64	1
9000000	1	1	64	80	1
9181250	1	1	64	0	1
9187500	1	1	65	80	1
9368750	1	3	45	0	1
9368750	1	1	65	0	1
9375000	1	3	52	64	1
9375000	1	1	67	80	1
9556250	1	1	67	0	1
9562500	1	1	69	80	1
9743750	1	3	52	0	1
9750000	1	3	55	64	1
9931250	1	1	69	0	1
9937500	1	1	60	80	1
10118750	1	1	60	0	1
10125000	1	1	72	80	1
10306250	1	1	72	0	1
10312500	1	1	69	80	1
10493750	1	3	55	0	1
10493750	1	1	69	0	1
10500000	1	3	50	64	1
10500000	1	1	67	80	1
10681250	1	1	67	0	1
10687500	1	1	69	80	1
10868750	1	3	50	0	1
10868750	1	1	69	0	1
10875000	1	3	53	64	1
10875000	1	1	65	80	1
11056250	1	1	65	0	1
11062500	1	1	67	80	1
11243750	1	3	53	0	1
11243750	1	1	67	0	1
11250000	1	3	57	64	1
11250000	1	1	64	80	1
11431250	1	1	64	0	1
11437500	1	1	65	80	1
11618750	1	1	65	0	1
11625000	1	1	60	80	1
11993750	1	3	57	0	1
11993750	1	1	60	0	1
12000000	1	1	76	80	1
12181250	1	1	76	0	1
12187500	1	1	77	80	1
12368750	1	1	77	0	1
12375000	1	1	79	80	1
12556250	1	1	79	0	1
12562500	1	1	81	80	1
12931250	1	1	81	0	1
12937500	1	1	72	80	1
13118750	1	1	72	0	1
13125000	1	1	84	80	1
13306250	1	1	84	0	1
13312500	1	1	81	80	1
14993750	1	1	81	0	1
15000000	1	1	76	80	1
15181250	1	1	76	0	1
15187500	1	1	77	80	1
15368750	1	1	77	0	1
15375000	1	1	79	80	1
15556250	1	1	79	0	1
15562500	1	1	81	80	1
15931250	1	1	81	0	1
15937500	1	1	72	80	1
16118750	1	1	72	0	1
16125000	1	1	84	80	1
16306250	1	1	84	0	1
16312500	1	1	81	80	1
16493750	1	1	81	0	1
16500000	1	1	79	80	1
16681250	1	1	79	0	1
16687500	1	1	81	80	1
16868750	1	1	81	0	1
16875000	1	1	77	80	1
17056250	1	1	77	0	1
17062500	1	1	79	80	1
17243750	1	1	79	0	1
17250000	1	1	76	80	1
17431250	1	1	76	0	1
17437500	1	1	77	80	1
17618750	1	1	77	0	1
